# x_hat,full-stokes min,full-stokes max,full-stokes mean,higher-order min,higher-order max,higher-order mean
8.699999999999999956e-01,1.598514440114387369e+01,1.599630501557169460e+01,1.599369136095931765e+01,4.149767012108523723e+00,1.633230638663947687e+01,1.212694290090016835e+01
8.800000000000000044e-01,1.598480439541756937e+01,1.599589501040606088e+01,1.599330000821109010e+01,4.149518617732798731e+00,1.632996917462310194e+01,1.212556132451399904e+01
8.900000000000000133e-01,1.598446438969269678e+01,1.599548500802953832e+01,1.599291313648053325e+01,4.149215525482190969e+00,1.632763202251653567e+01,1.212413254179108790e+01
9.000000000000000222e-01,1.598412438396926483e+01,1.599511500263888486e+01,1.599254033654010776e+01,4.148892665428209447e+00,1.632509500415644510e+01,1.212298653011033700e+01
9.100000000000000311e-01,1.598382437493761365e+01,1.599474599843721911e+01,1.599218497636312897e+01,4.148531064563337090e+00,1.632255299693742856e+01,1.212173978033727373e+01
9.200000000000000400e-01,1.598352436590831971e+01,1.599439900001633674e+01,1.599183782164552170e+01,4.148151400414123557e+00,1.631996694794872127e+01,1.212033795340058617e+01
9.300000000000000488e-01,1.598322435688138832e+01,1.599407099474494132e+01,1.599150521556511606e+01,4.147747185576455387e+00,1.631734292135071129e+01,1.211886338370988270e+01
9.400000000000000577e-01,1.598292434785681948e+01,1.599374699234635067e+01,1.599118342074986820e+01,4.147324655213803446e+00,1.631472290701215400e+01,1.211734455428258883e+01
9.500000000000000666e-01,1.598262433883461142e+01,1.599346000046388738e+01,1.599089614003601056e+01,4.146895954276837770e+00,1.631213999020109995e+01,1.211545497842097951e+01
9.599999999999999645e-01,1.598244432645115332e+01,1.599318400907635329e+01,1.599065643768909695e+01,4.146458946759810082e+00,1.630955706664241944e+01,1.211357402644397752e+01
9.699999999999999734e-01,1.598226431407110049e+01,1.599294001102198415e+01,1.599043113800105331e+01,4.146031521004295506e+00,1.630702608966085165e+01,1.211161570627274742e+01
9.799999999999999822e-01,1.598208430169445471e+01,1.599273500678605586e+01,1.599023265854811982e+01,nan,nan,nan
9.899999999999999911e-01,nan,nan,nan,nan,nan,nan
1.000000000000000000e+00,nan,nan,nan,nan,nan,nan
