x,y,z mean,z stdev,z min,z max,vs_x stdev,vs_x min,vs_x max,vs_y mean,vs_y stdev,vs_y min,vs_y max,vs_z mean,vs_z stdev,vs_z min,vs_z max
-47.500000,37.500000,-1.036593,0.202355,-1.238948,-0.834238,149.838487,50.122095,99.716392,199.960582,-0.273636,0.083162,-0.356798,-0.190474,-0.008009,0.000865,-0.008873,-0.007144
-47.500000,40.000000,-0.820751,0.196262,-1.017013,-0.624489,149.902564,50.129369,99.773195,200.031933,-0.216014,0.067202,-0.283215,-0.148812,-0.007900,0.000267,-0.008167,-0.007633
-47.500000,42.500000,-0.654926,0.192982,-0.847908,-0.461944,149.950982,50.135004,99.815978,200.085985,-0.160107,0.050709,-0.210816,-0.109398,-0.007751,0.000194,-0.007945,-0.007558
-47.500000,45.000000,-0.537058,0.190865,-0.727924,-0.346193,149.984734,50.138835,99.845899,200.123569,-0.105595,0.033946,-0.139541,-0.071649,-0.007592,0.000514,-0.008106,-0.007078
-47.500000,47.500000,-0.465705,0.190216,-0.655921,-0.275489,150.004757,50.141226,99.863531,200.145983,-0.052249,0.017027,-0.069275,-0.035222,-0.007500,0.000689,-0.008190,-0.006811
-47.500000,50.000000,-0.441654,0.189628,-0.631281,-0.252026,150.011611,50.141921,99.869691,200.153532,0.000000,0.000000,0.000000,0.000000,-0.007432,0.000767,-0.008199,-0.006665
-45.000000,-50.000000,-0.510305,0.107938,-0.618243,-0.402368,149.980321,50.118117,99.862204,200.098438,0.000000,0.000000,0.000000,0.000000,-0.006962,0.000006,-0.006968,-0.006955
-45.000000,-47.500000,-0.533538,0.107828,-0.641366,-0.425711,149.973313,50.117084,99.856229,200.090397,0.050382,0.017620,0.032762,0.068002,-0.006975,0.000090,-0.007065,-0.006886
-45.000000,-45.000000,-0.601676,0.106766,-0.708442,-0.494910,149.952890,50.114121,99.838769,200.067011,0.101570,0.034974,0.066596,0.136544,-0.007066,0.000288,-0.007354,-0.006778
-45.000000,-42.500000,-0.712873,0.105356,-0.818228,-0.607517,149.918824,50.109045,99.809779,200.027869,0.152999,0.052178,0.100821,0.205177,-0.007155,0.000688,-0.007844,-0.006467
